营养素,糖,属于,营养素,碳水化合物
营养素,低聚糖,属于,营养素,碳水化合物
营养素,多糖,属于,营养素,碳水化合物
营养素,单糖,属于,营养素,糖
营养素,糖醇,属于,营养素,糖
营养素,葡萄糖,属于,营养素,单糖
营养素,半乳糖,属于,营养素,单糖
营养素,果糖,属于,营养素,单糖
营养素,蔗糖,属于,营养素,单糖
营养素,乳糖,属于,营养素,单糖
营养素,麦芽糖,属于,营养素,单糖
营养素,山梨糖,属于,营养素,单糖
营养素,糖原,别名,营养素,动物性淀粉
营养素,糖原,属于,营养素,多糖
营养素,淀粉,属于,营养素,多糖
营养素,非淀粉多糖,属于,营养素,多糖
营养素,纤维素,属于,营养素,非淀粉多糖
营养素,半纤维素,属于,营养素,非淀粉多糖
营养素,果胶,属于,营养素,非淀粉多糖
营养素,葡萄糖,提供能量,器官,神经系统
营养素,糖,组成成分,器官,酶
营养素,糖,组成成分,营养素,激素
营养素,糖,组成成分,营养素,核酸
营养素,碳水化合物,有利于,疾病,酮血症
营养素,肝糖,有利于,疾病,解毒
营养素,纤维素,有利于,器官,肠道
营养素,半纤维素,有利于,器官,肠道
营养素,果胶,有利于,器官,肠道
营养素,抗性淀粉,有利于,器官,肠道
营养素,功能性低聚糖,有利于,器官,肠道
营养素,功能性低聚糖,有利于,疾病,糖尿病
营养素,功能性低聚糖,有利于,疾病,肥胖
营养素,功能性低聚糖,有利于,疾病,低血糖
特殊人群,孕妇,易发,疾病,牙龈炎
特殊人群,孕妇,易发,疾病,牙龈出血
特殊人群,孕妇,易发,疾病,胃胀气
特殊人群,孕妇,易发,疾病,消化不良
特殊人群,孕妇,易发,疾病,恶心
特殊人群,孕妇,易发,疾病,呕吐
特殊人群,孕妇,易发,疾病,胃反酸
营养素,维生素,缺乏导致,疾病,胎儿生长缓慢
营养素,维生素,缺乏导致,疾病,先天性畸形
营养素,维生素A,有利于,器官,骨骼生长
营养素,维生素A,有利于,器官,视觉
营养素,维生素A,有利于,器官,生殖系统功能
营养素,维生素A,缺乏导致,疾病,早产
营养素,维生素A,过量导致,疾病,早产
营养素,维生素A,有利于,疾病,缺铁性贫血
营养素,维生素D,缺乏导致,疾病,代谢紊乱
营养素,维生素D,缺乏导致,疾病,低钙血症
营养素,维生素D,缺乏导致,疾病,手足抽搐
营养素,维生素D,缺乏导致,疾病,骨质软化症
营养素,叶酸,缺乏导致,疾病,巨细胞贫血
营养素,叶酸,缺乏导致,疾病,胎盘早剥
营养素,叶酸,缺乏导致,疾病,神经管畸形
营养素,叶酸,过量导致,疾病,乳腺癌
营养素,维生素E,有利于,疾病,溶血症
营养素,维生素B1,缺乏导致,疾病,脚气症
营养素,维生素B2,缺乏导致,疾病,贫血
营养素,维生素C,有利于,器官,抵抗力
营养素,维生素C,有利于,器官,生长发育
营养素,维生素K1,有利于,疾病,缺乏性缺血
营养素,钙,缺乏导致,疾病,骨质软化症
营养素,钙,缺乏导致,疾病,骨质疏松症
营养素,铁,缺乏导致,疾病,贫血
营养素,叶酸,缺乏导致,疾病,贫血
营养素,维生素B12,缺乏导致,疾病,贫血
营养素,钠,过量导致,疾病,妊娠期高血压症
营养素,钙,缺乏导致,疾病,妊娠期高血压症
疾病,妊娠期高血压症,并发,疾病,肺水肿
疾病,妊娠期高血压症,并发,疾病,心衰
疾病,妊娠期高血压症,并发,疾病,凝血功能异常
疾病,妊娠期高血压症,并发,疾病,急性肾衰
疾病,妊娠期高血压症,并发,疾病,肝酶升高
疾病,妊娠期高血压症,并发,疾病,血小板减少
营养素,蛋白质,缺乏导致,疾病,妊娠期营养不良
疾病,妊娠期营养不良,并发,疾病,妊娠期糖尿病
疾病,妊娠期营养不良,并发,疾病,妊娠合并肾炎
疾病,妊娠期营养不良,并发,疾病,妊娠合并心衰
疾病,胎儿生长缓慢,并发,疾病,糖尿病
疾病,胎儿生长缓慢,并发,疾病,高血压
疾病,胎儿生长缓慢,并发,疾病,冠心病
营养素,叶酸,缺乏导致,疾病,胎儿神经管畸形
营养素,维生素A,过量导致,疾病,先天畸形
乳类,乳汁,富含,营养素,蛋白质
乳类,乳汁,富含,营养素,乳糖
乳类,乳汁,富含,营养素,维生素
乳类,乳汁,富含,营养素,水
特殊人群,婴幼儿,易发,疾病,婴幼儿过敏
疾病,婴幼儿过敏,导致,症状,皮疹
疾病,婴幼儿过敏,导致,症状,荨麻疹
疾病,婴幼儿过敏,导致,症状,腹泻
疾病,婴幼儿过敏,导致,症状,哮喘
疾病,婴幼儿过敏,导致,症状,湿疹
疾病,乳糖不耐症,导致,症状,腹泻
疾病,乳糖不耐症,导致,症状,腹痛
疾病,乳糖不耐症,导致,症状,腹胀
疾病,乳糖不耐症,导致,症状,肠鸣
特殊人群,婴幼儿,易发,疾病,佝偻病
营养素,维生素D,缺乏导致,疾病,佝偻病
疾病,佝偻病,并发,疾病,肺炎
疾病,佝偻病,并发,疾病,心肌炎
疾病,佝偻病,并发,疾病,腹泻
鱼虾蟹贝类,鱼肝油,有利于,疾病,佝偻病
乳类,牛乳,富含,营养素,维生素D
畜类,动物肝脏,富含,营养素,维生素D
鱼虾蟹贝类,鱼卵,富含,营养素,维生素D
蛋类,蛋黄,富含,营养素,维生素D
鱼虾蟹贝类,鱼肝油,有利于,疾病,佝偻病
乳类,牛乳,有利于,疾病,佝偻病
畜类,动物肝脏,有利于,疾病,佝偻病
鱼虾蟹贝类,鱼卵,有利于,疾病,佝偻病
蛋类,蛋黄,有利于,疾病,佝偻病
疾病,妊娠期营养不良,并发,疾病,婴儿缺铁性贫血
疾病,妊娠期营养不良,并发,疾病,早产
畜类,肝泥,富含,营养素,铁
畜类,肉末,富含,营养素,铁
蛋类,蛋黄,富含,营养素,铁
干豆类,豆类,富含,营养素,铁
营养素,铁,有利于,疾病,婴儿缺铁性贫血
营养素,维生素C,促进吸收,营养素,铁
畜类,猪肉,富含,营养素,锌
畜类,猪肝,富含,营养素,锌
鱼虾蟹贝类,鱼,富含,营养素,锌
营养素,锌,缺乏导致,疾病,锌缺乏症
营养素,脂类,属于,营养素,营养素
营养素,蛋白质,属于,营养素,营养素
营养素,水,属于,营养素,营养素
营养素,碳水化合物,属于,营养素,营养素
营养素,维生素,属于,营养素,营养素
营养素,矿物质,属于,营养素,营养素
营养素,脂肪,属于,营养素,脂类
营养素,类脂,属于,营养素,脂类
营养素,固醇类,属于,营养素,类脂
营养素,磷脂,属于,营养素,类脂
营养素,微生物多糖,属于,营养素,非淀粉多糖
营养素,植物多糖,属于,营养素,非淀粉多糖
营养素,动物多糖,属于,营养素,非淀粉多糖
营养素,水溶性维生素,属于,营养素,维生素
营养素,脂溶性维生素,属于,营养素,维生素
营养素,维生素A,属于,营养素,维生素
营养素,维生素D,属于,营养素,脂溶性维生素
营养素,维生素E,属于,营养素,脂溶性维生素
营养素,维生素K,属于,营养素,脂溶性维生素
营养素,维生素B1,属于,营养素,水溶性维生素
营养素,维生素B2,属于,营养素,水溶性维生素
营养素,维生素B6,属于,营养素,水溶性维生素
营养素,尼克酸,属于,营养素,水溶性维生素
